id,video_id,comment_id,comment_text,author,like_count,reply_count,reply_depth_potential,engagement_score,created_at,ai_reply,embedding
1,ABCD1234,UCm0001,めっちゃ分かりやすかった！ありがとう！,@mikan_orange,12,1,0,0,2025-11-05 10:14:21,null,
2,ABCD1234,UCm0002,音質すごく良いですね🎧,@hiro_mix,3,0,0,0,2025-11-05 09:41:03,null,
3,ABCD1234,UCm0003,こういう解説待ってた…助かります,@kana_study,8,0,0,0,2025-11-05 11:24:09,null,
4,ABCD1234,UCm0004,ちょっと早口だけど内容は好き,@blueforest,1,0,0,0,2025-11-05 08:54:22,null,
5,ABCD1234,UCm0005,このシリーズもっと続けてほしい！,@tomo_tube,15,2,0,0,2025-11-05 14:20:05,null,
6,EFGH5678,UCm0006,笑いながら見てたwww,@yuta_funny,5,0,0,0,2025-11-06 01:03:14,null,
7,EFGH5678,UCm0007,編集スキル高すぎません？,@emi_create,11,1,0,0,2025-11-06 02:18:45,null,
8,EFGH5678,UCm0008,こういう雰囲気の動画好き✨,@suzu_day,6,0,0,0,2025-11-06 03:14:23,null,
9,EFGH5678,UCm0009,ミスあるかも？気のせいかな？,@tomoki_777,0,0,0,0,2025-11-05 22:39:51,null,
10,EFGH5678,UCm0010,犬かわいすぎて内容入ってこないｗ,@inu_life,18,2,0,0,2025-11-05 23:04:12,null,
11,IJKL2222,UCm0011,旅行行きたくなる動画だなぁ✈️,@nanairo_trip,13,1,0,0,2025-11-06 12:31:18,null,
12,IJKL2222,UCm0012,景色ほんと綺麗…癒された,@haru_photo,5,0,0,0,2025-11-06 11:50:12,null,
13,IJKL2222,UCm0013,次はどこ行く予定ですか？気になります,@yuyu_world,4,0,0,0,2025-11-06 10:48:05,null,
14,IJKL2222,UCm0014,編集上手くて見やすい！,@ryo_edit,7,0,0,0,2025-11-06 09:15:41,null,
15,IJKL2222,UCm0015,音楽のセンス良すぎる🎵,@mellow_jazz,9,1,0,0,2025-11-06 08:59:55,null,
16,EFGH5678,UCm0016,ちょっと暗くて見づらいかも？,@check_light,1,0,0,0,2025-11-06 07:18:22,null,
17,EFGH5678,UCm0017,こういう雑談助かる〜ながら聞きに最高,@neco_sleepy,6,0,0,0,2025-11-06 05:20:15,null,
18,EFGH5678,UCm0018,今日の情報めっちゃ参考になった！,@knowledge_kun,10,0,0,0,2025-11-05 21:44:17,null,
19,EFGH5678,UCm0019,サムネめちゃくちゃ綺麗！どう作ってるんだろ,@saki_graphic,2,0,0,0,2025-11-05 20:10:33,null,
20,EFGH5678,UCm0020,ちょっと長く感じたかな、、,@viewer_x,0,0,0,0,2025-11-05 19:28:14,null,
21,ABCD1234,UCm0021,後半めっちゃ面白かった😂,@haya_light,4,0,0,0,2025-11-06 06:44:51,null,
22,ABCD1234,UCm0022,こういう視点大事だね,@miu_comment,3,0,0,0,2025-11-06 06:12:09,null,
23,ABCD1234,UCm0023,声がすごく聞き取りやすい！,@voicy_man,8,0,0,0,2025-11-06 05:41:11,null,
